camis,dba,boro,building,street,zipcode,phone,cuisine_description,latitude,longitude
40366879,LA FUSTA,QUEENS,80-32,BAXTER AVENUE,11373,7184298222,Latin American,40.744706795371,-73.884569670655
40366928,RICHMOND COUNTY COUNTRY CLUB,STATEN ISLAND,135,FLAGG PLACE,10304,7183510600,American,40.58793589848,-74.104072714536
40366929,LITTLE BROWN JUG,QUEENS,124-02,JAMAICA AVENUE,11418,7188469609,American,40.700794094229,-73.826447791315
40366938,LULU'S COFFEE SHOP,BRONX,1191,CASTLE HILL AVENUE,10462,7188223568,Coffee/Tea,40.831707036899,-73.850999305895
40366961,MITCHELL'S RESTAURANT,BROOKLYN,617A,VANDERBILT AVENUE,11238,7187893212,Soul Food,40.678850369751,-73.968417476489
40367005,DA VINCI PIZZA,BROOKLYN,6514,18 AVENUE,11204,7182325855,Pizza,40.61897967707,-73.990342864857
40367161,MARINA DEL REY,BRONX,2894,SCHURZ AVENUE,10465,7189316500,American,40.814538549783,-73.815055436186
40367189,KENN'S BROOME STREET BAR,MANHATTAN,363,WEST BROADWAY,10013,2129252086,American,40.723116860955,-74.003124280993
40367232,O'HANLONS,QUEENS,22-57,31 STREET,11105,7187289619,Irish,40.774948266802,-73.912119596608
40367240,CHARLIE'S SPORTS BAR,QUEENS,44-08,60 STREET,11377,7184781903,Irish,40.742010527663,-73.904480194358
40367241,JG MELON,MANHATTAN,1291,3 AVENUE,10021,2127440585,American,40.771192500921,-73.959531818288
40367338,"TAP ROOM, GRAB & GO",MANHATTAN,180,CENTRAL PARK SOUTH,10019,2127677085,American,40.766718222992,-73.978736594767
40367339,COCKTAIL ROOM (NYAC),MANHATTAN,180,CENTRAL PARK SOUTH,10019,2127677000,American,40.766718222992,-73.978736594767
40367365,THE FLAME DINER,MANHATTAN,893,9 AVENUE,10019,2127657962,American,40.768431984928,-73.9853426732
40367373,JACKSON HOLE,MANHATTAN,232,EAST   64 STREET,10065,2123717187,Hamburgers,40.764309967429,-73.963456427466
40367377,ZUM STAMMTISCH,QUEENS,69-46,MYRTLE AVENUE,11385,7183863014,German,40.70186889553,-73.881596583326
40367442,BUDDY'S WONDER BAR,STATEN ISLAND,17,HARRISON AVENUE,10302,7184429768,American,40.636755420817,-74.134937047229
40367728,MIMI'S,MANHATTAN,984,SECOND AVENUE,10022,2126884692,Italian,40.756216898717,-73.967528807602
40367749,LENNY'S CLAM BAR,QUEENS,161-03,CROSSBAY BOULEVARD,11414,7188455100,Seafood,40.655550935611,-73.83896749314
40367752,GRIFFIS FACULTY CLUB,MANHATTAN,521,EAST   68 STREET,10065,6469623939,American,40.764156112386,-73.955283592822
40367789,DANI PIZZA AND RESTAURANT,QUEENS,81-28,LEFFERTS BOULEVARD,11415,7188462849,Pizza,40.708875173221,-73.830423168694
40367790,MCDONALD'S,BROOKLYN,943,FLATBUSH AVENUE,11226,7186935353,Hamburgers,40.648723192538,-73.958298253196
40367841,CAFE FIORELLO,MANHATTAN,1900,BROADWAY,10023,2125955330,Italian,40.771511149198,-73.982150446461
40367860,L&B SPUMONI GARDENS,BROOKLYN,2725,86 STREET,11223,7184491230,Pizza,40.594393518287,-73.981359004171
40367870,AMORE PIZZERIA & RESTAURANT,QUEENS,30-27,STRATTON STREET,11354,7184450579,Pizza,40.769658810731,-73.834693968308
40368018,THE PATIO,BRONX,2300,SOUTHERN BOULEVARD,10460,7182205069,American,40.850536751997,-73.88245508146
40368021,ZOO BREWS-BRONX ZOO,BRONX,2300,SOUTHERN BOULEVARD,10460,7182207937,American,40.850536751997,-73.88245508146
40368022,GRIZZLY GROUNDS,BRONX,2300,SOUTHERN BOULEVARD,10460,3474468151,Coffee/Tea,40.850536751997,-73.88245508146
40368025,THE PECKING ORDER (THE BRONX ZOO),BRONX,2300,SOUTHERN BOULEVARD,10460,7187418295,American,40.850536751997,-73.88245508146
40368026,SOMBA VILLAGE (BABOON CAFE),BRONX,2300,SOUTHERN BOULEVARD,10460,7187418295,African,40.850536751997,-73.88245508146
40368034,ROADHOUSE RESTAURANT,STATEN ISLAND,1402,CLOVE ROAD,10301,7184470033,Italian,40.613366849845,-74.100456725438
40368207,MILL BASIN KOSHER DELI,BROOKLYN,5823,AVENUE T,11234,7182414910,Jewish/Kosher,40.615314177459,-73.918410519092
40368271,CHERRY TAVERN,MANHATTAN,441,EAST    6 STREET,10009,2127771448,American,40.72599520843,-73.985196904415
40368291,COLONNADE DINER,STATEN ISLAND,2001,HYLAN BOULEVARD,10306,7183512900,American,40.581163905657,-74.098543291202
40368313,RED FLAME DINER,MANHATTAN,67,WEST   44 STREET,10036,2128693965,American,40.755627203336,-73.981938150269
40368318,MAGGIE'S PLACE,MANHATTAN,21,EAST   47 STREET,10017,2127535757,American,40.75615887998,-73.977386411729
40368338,BRADY'S,MANHATTAN,1583,2 AVENUE,10028,2128616070,American,40.775433620871,-73.953532090009
40368374,JIMMY'S CORNER,MANHATTAN,140,WEST   44 STREET,10036,2122219510,American,40.756612923674,-73.984331004337
40368555,IL CORTILE,MANHATTAN,123,MULBERRY STREET,10013,2122266060,Italian,40.717890850638,-73.99810609883
40368577,DENNY'S PUB,BROOKLYN,106,BEVERLY ROAD,11218,7184352156,American,40.642931856285,-73.978869881609
40368581,MARIE'S CRISIS,MANHATTAN,59,GROVE STREET,10014,2122439323,American,40.733135251667,-74.003287124204
40368632,NEW PARKWAY RESTAURANT,BROOKLYN,7504,13 AVENUE,11228,7187454371,American,40.620195775133,-74.00754646331
40368752,RAOUL'S,MANHATTAN,180,PRINCE STREET,10012,2129663518,French,40.726320028034,-74.002034849311
40368763,THE BROOK,MANHATTAN,111,EAST   54 STREET,10022,2127537020,American,40.759426587413,-73.971541211282
40368801,MARBELLA,QUEENS,220-33,NORTHERN BOULEVARD,11361,7184230100,Spanish,40.761601625705,-73.760759718274
40368809,P.J.' S,QUEENS,189-25,UNION TURNPIKE,11366,3472683989,American,40.729537226386,-73.779969217943
40368824,DOUBLES CLUB,MANHATTAN,783,5 AVENUE,10022,2127519595,American,40.764532145131,-73.972809729679
40368897,HATSUHANA,MANHATTAN,17,EAST   48 STREET,10017,2123553345,Japanese,40.756891688533,-73.977173198465
40369012,VALENTINO'S,QUEENS,71-47,KISSENA BOULEVARD,11367,7185916464,Italian,40.728644141407,-73.815154028914
40369016,VIAND COFFEE SHOP,MANHATTAN,673,MADISON AVENUE,10065,2127516622,Greek,40.764924053413,-73.970416146817
40369158,JODY'S CLUB,STATEN ISLAND,372,FOREST AVENUE,10301,7187276338,American,40.63100906274,-74.101895649669
40369165,REIF'S TAVERN,MANHATTAN,302,EAST   92 STREET,10128,2124260519,American,40.781511138984,-73.948577300186
40369213,WHITESTONE LANES,QUEENS,30-05,WHITESTONE EXPRESSWAY,11354,7183536300,American,40.770708647549,-73.833720179111
40369262,JOHN'S PIZZERIA,QUEENS,85-02,GRAND AVENUE,11373,7184577561,Pizza,40.734921850516,-73.882013926505
40369299,SEASHORE RESTAURANT,BRONX,591,CITY ISLAND AVENUE,10464,7188850300,Seafood,40.854116926666,-73.790573593575
40369418,CAFFE REGGIO,MANHATTAN,119,MAC DOUGAL STREET,10012,2124759557,Italian,40.730206634013,-74.000317512808
40369482,ARMANDO'S PIZZA,BROOKLYN,1366,PENNSYLVANIA AVENUE,11239,7186428253,Pizza,40.647983742716,-73.881926814947
40369521,KNICKERBOCKER BAR & GRILL,MANHATTAN,33,UNIVERSITY PLACE,10003,2122288490,Steakhouse,40.731968639466,-73.994450594757
40369608,THE RIVER CAFE,BROOKLYN,1,WATER STREET,11201,7185225200,American,40.702959180239,-73.99433760709
40369619,MUDVILLE9,MANHATTAN,126,CHAMBERS STREET,10007,2129649464,American,40.715299468091,-74.008790965756
40369641,JOHNNY'S REEF RESTAURANT,BRONX,2,CITY ISLAND AVENUE,10464,7188852086,Seafood,40.837664418816,-73.782898935512
40369667,WHITE CASTLE,BROOKLYN,846,EMPIRE BOULEVARD,11213,7187563377,Hamburgers,40.66349139936,-73.932264652274
40369669,WHITE CASTLE,BRONX,2701,BOSTON POST ROAD,10467,7182314978,Hamburgers,40.865624074297,-73.862253934582
40369675,WHITE CASTLE,QUEENS,43-02,QUEENS BOULEVARD,11104,7187862475,Hamburgers,40.743450594604,-73.921327711204
40369782,MCDONALD'S,BROOKLYN,701,UTICA AVENUE,11203,7187780023,Hamburgers,40.656181203396,-73.930844886732
40369878,VILLA MOSCONI,MANHATTAN,69,MACDOUGAL STREET,10012,2126730390,Italian,40.72853780392,-74.001731844504
40369958,SPARKS STEAKHOUSE,MANHATTAN,210,EAST   46 STREET,10017,2126874855,Steakhouse,40.753097308196,-73.972096155466
40369983,THE DART SPORTS BAR,QUEENS,83-18,PARSONS BOULEVARD,11432,7182911894,American,40.715270326351,-73.807698905887
40370015,BAMONTE'S,BROOKLYN,32,WITHERS STREET,11211,7183848831,Italian,40.716727740645,-73.951340215867
40370150,JOHN MULLIGAN'S FIRESIDE PUB,BRONX,4272,KATONAH AVENUE,10470,3473468001,Irish,40.89778438017,-73.867218605002
40370167,BURGER KING,QUEENS,222-10,NORTHERN BOULEVARD,11361,7182251695,Hamburgers,40.761859115241,-73.7591993411
40370168,EAR INN,MANHATTAN,326,SPRING STREET,10013,2122269060,American,40.725993041785,-74.009301091655
40370436,ROSSINI'S,MANHATTAN,108,EAST   38 STREET,10016,2126830135,Italian,40.749349425399,-73.978940662754
40370463,THREE GUY'S RESTAURANT,MANHATTAN,960,MADISON AVENUE,10021,2126288108,American,40.773974376779,-73.963841035522
40370507,THE PLAYERS,MANHATTAN,16,GRAMERCY PARK SOUTH,10003,2124756116,American,40.737775898673,-73.986482515651
40370766,SMITH & WOLLENSKY,MANHATTAN,201,EAST   49 STREET,10017,2127531530,American,40.755051274002,-73.970875339288
40370781,MCDONALD'S,QUEENS,160-11,WILLETS POINT BOULEVARD,11357,7187466063,Hamburgers,40.7806191184,-73.802039011533
40370856,OLIVE TREE CAFE & COMEDY CELLAR,MANHATTAN,117,MAC DOUGAL STREET,10012,2122543480,American,40.730129780372,-74.000386066263
40370939,MANDUCATIS,QUEENS,13-27,JACKSON AVENUE,11101,7187294602,Italian,40.744468029044,-73.948905538843
40371291,SORISI PIZA CORP.,QUEENS,107-21,71 AVENUE,11375,,,40.720489173461,-73.844592932003
40371684,LIBERMAN'S LUNCHEONETTE,BROOKLYN,4801,16 AVENUE,11204,7188518696,Jewish/Kosher,40.631503551354,-73.985008985692
40371718,ZAFI'S LUNCHEONETTE,MANHATTAN,500,GRAND STREET,10002,2125332415,American,40.714738553101,-73.982605794428
40371727,LA PALINA RESTAURANT,BROOKLYN,159,AVENUE O,11204,7182369764,Italian,40.610776716763,-73.978869293745
40371805,TY'S,MANHATTAN,114,CHRISTOPHER STREET,10014,2127419641,American,40.733192808056,-74.005477342338
40371906,MARINER INN,BROOKLYN,3501,AVENUE S,11234,7183768058,American,40.609339406683,-73.9319776615
40371988,NORTH SHORE DINER,QUEENS,196-52,NORTHERN BOULEVARD,11358,7182258000,American,40.757847279125,-73.784564229619
40372112,GREEN HOUSE CAFE,BROOKLYN,7717,THIRD AVENUE,11209,7188338200,American,40.629821191692,-74.028450143173
40372196,MCDONALD'S,BRONX,3660,EAST TREMONT AVENUE,10465,7188221040,Hamburgers,40.827578059403,-73.823272077449
40372262,LA RIPAILLE,MANHATTAN,605,HUDSON STREET,10014,2122554406,French,40.73735385778,-74.005741105387
40372357,MARINA CAFE,STATEN ISLAND,154,MANSION AVENUE,10308,7189673077,Italian,40.544300925933,-74.140905861928
40372422,BURGER KING,QUEENS,92-83,QUEENS BOULEVARD,11374,7185750116,Hamburgers,40.731773141489,-73.86656564973
40372445,OMONIA CAFE,QUEENS,32-20,BROADWAY,11106,7182746650,Greek,40.761477481586,-73.924360228878
40372466,"MURALS ON 54, RANDOLPH'S",MANHATTAN,65,WEST   54 STREET,10019,2122472700,American,40.761865222515,-73.977330319535
40372485,VETERANS OF FOREIGN WARS POST #107 CANTEEN,BROOKLYN,2414,GERRITSEN AVENUE,11229,7187696094,American,40.598101670847,-73.931013300703
40372596,TROPICAL HOUSE BAKING CO.,BROOKLYN,267,SCHENECTADY AVENUE,11213,7187739523,Bakery Products/Desserts,40.669434759348,-73.933830286475
40372618,BURGER KING,QUEENS,154-05,ROCKAWAY BOULEVARD,11434,7185275044,Hamburgers,40.667935318774,-73.780984279643
40372631,YANKEE'S PIZZA,BRONX,1599,WESTCHESTER AVENUE,10472,7183284349,Pizza,40.829178325164,-73.87570682252
40372971,RACQUET & TENNIS CLUB,MANHATTAN,370,PARK AVENUE,10022,2127539700,American,40.758798345762,-73.972812079305
40373113,ASTRO RESTAURANT,MANHATTAN,101,WEST   55 STREET,10019,2124896284,American,40.76313625147,-73.978398412976
40373118,GOLDEN DOVE DINER,STATEN ISLAND,3281,RICHMOND AVENUE,10312,7189671900,American,40.559012753113,-74.169439701203
40373160,KORNER PIZZERIA,BROOKLYN,226,CHURCH AVENUE,11218,7188533755,Pizza,40.643376352202,-73.978026547796
40373462,VILLA BERULIA,MANHATTAN,107,EAST   34 STREET,10016,2126891970,Italian,40.746865746167,-73.980821742973
40373500,VICTOR'S CAFE,MANHATTAN,236,WEST   52 STREET,10019,2125867714,Latin American,40.762961484036,-73.983853000701
40373597,PETE'S PIZZERIA & RESTAURANT,BROOKLYN,7522,3 AVENUE,11209,7187455442,Pizza,40.631240382668,-74.027888724775
40373669,BUBO,MANHATTAN,515,3 AVENUE,10016,2125323300,Mediterranean,40.746047275767,-73.977869849068
40373888,IL MULINO,MANHATTAN,86,WEST    3 STREET,10012,2126733783,Italian,40.729844320711,-73.998960872846
40373909,MCDONALD'S,BROOKLYN,5804,CLARENDON ROAD,11203,7184510834,Hamburgers,40.644916150063,-73.921588478833
40373912,THE MALT HOUSE,MANHATTAN,206,THOMPSON STREET,10012,2122287701,American,40.728787588835,-73.999350555867
40373937,SHUN LEE,MANHATTAN,37,WEST   65 STREET,10023,2125958895,Chinese,40.772273899388,-73.980363099092
40374136,TONY'S PIER RESTAURANT,BRONX,1,CITY ISLAND AVENUE,10464,7188851424,Seafood,40.837658970329,-73.782920637128
40374192,ELIO'S,MANHATTAN,1621,SECOND AVENUE,10028,2127722242,Italian,40.776704064109,-73.952606878844
40374266,THE LOST & FOUND,MANHATTAN,372,8 AVENUE,10001,2125647515,Irish,40.748805077672,-73.995910876922
40374277,THE MOLLY WEE PUB,MANHATTAN,402,8 AVENUE,10001,2129672627,Irish,40.749754738358,-73.995221468286
40374395,EL CARIBE,BROOKLYN,5945,STRICKLAND AVENUE,11234,7185311200,Italian,40.608652307729,-73.914280560816
40374415,OMEN AZEN,MANHATTAN,113,THOMPSON STREET,10012,2129258923,Japanese,40.725823228456,-74.001850833128
40374834,CASA BELLA,MANHATTAN,127,MULBERRY STREET,10013,2124314080,Italian,40.717995150669,-73.998037554562
40374974,CHEZ NAPOLEON,MANHATTAN,365,WEST   50 STREET,10019,2122656980,French,40.763203559325,-73.988271452718
40375108,TURKEY'S NEST TAVERN,BROOKLYN,94,BEDFORD AVENUE,11249,7183849774,American,40.720516956735,-73.954851215736
40375286,LA VILLA DE PIZZA & RESTAURANT,QUEENS,82-07,153 AVENUE,11414,7186418259,Pizza,40.666089208129,-73.8519582509
40375369,OZONE PIZZERIA,QUEENS,96-15,LIBERTY AVENUE,11417,7188459555,Pizza,40.680681768141,-73.842638180373
40375616,ARTURO'S,MANHATTAN,1617,YORK AVENUE,10028,2125354480,Italian,40.775452968053,-73.947477164518
40375699,GENE'S RESTURANT,MANHATTAN,73,WEST   11 STREET,10011,2126752048,Italian,40.73493582977,-73.997185481415
40375929,VILLA FIORITA,BROOKLYN,7720,18 AVENUE,11214,7188377950,Italian,40.612046726678,-73.997345555177
40375953,ANGELA BAKERY CORP,BRONX,2407,GRAND CONCOURSE,10468,,,40.860246304621,-73.898344668537
40376077,FONTANA FAMOUS PIZZA & GYRO,QUEENS,200-02,NORTHERN BOULEVARD,11361,7186310147,Greek,40.757715535717,-73.783109985737
40376142,LUSARDI'S RESTAURANT,MANHATTAN,1494,SECOND AVENUE,10075,2122492020,Italian,40.772505803269,-73.955646225535
40376204,PORTOFINO,QUEENS,109-32,ASCAN AVENUE,11375,7182611239,Italian,40.718748570733,-73.840293278717
40376290,KING'S ARMS RESTAURANT,STATEN ISLAND,500,FOREST AVENUE,10310,7184480326,American,40.630436247754,-74.106988972394
40376352,BLUE NOTE,MANHATTAN,131,WEST    3 STREET,10012,2124758592,American,40.730763819064,-74.000793788682
40376495,MARCO POLO RISTORANTE,BROOKLYN,345,COURT STREET,11231,7188525015,Italian,40.682282872632,-73.99592218276
40376496,THE MONSTER,MANHATTAN,80,GROVE STREET,10014,2129243557,American,40.733407004766,-74.002428368437
40376583,WAR MEMORIAL ICE SKATING RINK,STATEN ISLAND,0,MEMORIAL ICE SKATING,,9179214213,American,0.0,0.0
40376635,TRIPOLI / SWALLOW CAFE,BROOKLYN,156,ATLANTIC AVENUE,11201,7185965800,Mediterranean,40.690303050213,-73.994645190281
